                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.9063,                 12.381,                  7.225,                0.16103,                0.14473,                0.07289,                0.01955,                 4.9992,                 6.3304,                  6.112,             0.00066562,             0.00066562,             0.00066562
                      2,                 4.8228,                 5.5672,                 5.8214,                0.27809,                0.30557,                0.21774,                0.06967,                 4.6168,                 5.0095,                 5.5888,              0.0012004,              0.0012004,              0.0012004
                      3,                 4.5135,                 4.6092,                  5.336,                0.40846,                0.37374,                0.33261,                0.12325,                 4.3274,                 4.5084,                 5.1486,              0.0016032,              0.0016032,              0.0016032
                      4,                   4.22,                 4.1438,                 4.9996,                0.45897,                 0.4137,                0.39035,                0.14594,                 4.2306,                 4.1169,                 5.0613,               0.001406,               0.001406,               0.001406
                      5,                 4.0513,                 3.7241,                 4.7371,                0.49496,                 0.4681,                0.46288,                0.17805,                  4.099,                 3.7871,                 4.8136,               0.001208,               0.001208,               0.001208
                      6,                 3.9022,                 3.5468,                 4.5744,                0.53353,                0.51377,                0.52643,                0.21788,                 3.8983,                 3.5838,                 4.5465,                0.00101,                0.00101,                0.00101
                      7,                 3.7439,                 3.3362,                 4.3863,                0.57077,                0.46608,                0.50344,                0.22012,                 3.8038,                 3.6186,                 4.4912,               0.000812,               0.000812,               0.000812
                      8,                 3.6332,                 3.1886,                 4.2632,                0.60037,                0.52854,                0.57661,                 0.2529,                  3.709,                 3.2621,                 4.3485,               0.000614,               0.000614,               0.000614
                      9,                 3.5626,                 2.9825,                 4.1372,                0.63863,                0.55189,                0.61669,                0.28143,                 3.6401,                 3.1303,                 4.2598,               0.000416,               0.000416,               0.000416
                     10,                 3.4706,                 2.8756,                 4.0762,                  0.634,                0.57122,                0.63965,                0.30681,                  3.525,                 2.9678,                 4.1366,               0.000218,               0.000218,               0.000218
