                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.6827,                 11.277,                 7.0491,                0.28123,                0.22184,                0.17195,                0.05486,                 4.6978,                 5.4268,                 5.7678,             0.00066583,             0.00066583,             0.00066583
                      2,                 4.5792,                 4.9529,                 5.5741,                0.39693,                0.35108,                0.30062,                0.10195,                  4.479,                 4.7202,                  5.274,              0.0012006,              0.0012006,              0.0012006
                      3,                 4.2665,                 4.2269,                  5.147,                0.44336,                 0.4372,                0.37362,                0.13412,                 4.3398,                 4.3192,                 5.0548,              0.0016033,              0.0016033,              0.0016033
                      4,                 4.0608,                  3.864,                 4.8476,                0.54108,                0.44318,                0.47458,                0.19776,                 4.0686,                 3.9165,                 4.7616,               0.001406,               0.001406,               0.001406
                      5,                 3.8988,                 3.4795,                 4.6193,                0.52412,                0.47129,                0.49222,                0.21447,                 3.9609,                 3.6639,                 4.6908,               0.001208,               0.001208,               0.001208
                      6,                 3.7245,                 3.1812,                 4.4014,                0.58027,                0.50419,                0.55286,                0.24358,                 3.8541,                 3.3765,                 4.4534,                0.00101,                0.00101,                0.00101
                      7,                  3.574,                 2.9016,                 4.2206,                0.63478,                0.57955,                0.63252,                0.29735,                 3.6492,                 3.0063,                 4.2245,               0.000812,               0.000812,               0.000812
                      8,                 3.4644,                 2.7023,                 4.0681,                0.64967,                0.56041,                 0.6162,                0.30477,                 3.5485,                 3.0416,                 4.1293,               0.000614,               0.000614,               0.000614
                      9,                 3.3048,                   2.52,                 3.9098,                0.74143,                0.58672,                0.69326,                 0.3583,                 3.3521,                 2.6587,                 3.9167,               0.000416,               0.000416,               0.000416
                     10,                 3.1725,                 2.3465,                 3.7867,                0.77118,                0.64294,                 0.7415,                0.39611,                 3.2809,                  2.419,                 3.8335,               0.000218,               0.000218,               0.000218
